,first_name,family_name,party,electorate,sitting,website,twitter,facebook,instagram
Aaron Hammond,Aaron,Hammond,SCP,Sydney,False,,,,
Aaron Harpley-Carr,Aaron,Harpley-Carr,UAP,Dobell,False,,,dobell-uap-334602340497113,
Aaron Santelises,Aaron,Santelises,ALP,McPherson,False,https://www.alp.org.au/our-people/our-people/aaron-santelises/,,santelises4mcpherson,santelises4mcpherson
Aaron Whittaker,Aaron,Whittaker,UAP,Brisbane,False,,,aaronwhittakeruap,
Adam Bandt,Adam,Bandt,GRN,Melbourne,True,https://greens.org.au/vic/person/adam-bandt,adambandt,adam.bandt.mp,
Adam Blakester,Adam,Blakester,IND,New England,False,https://www.adamblakester.vote/,adamblakester,adamblakester,campaignblakester
Adam Holt,Adam,Holt,UAP,Sydney,False,,,sydney-uap-1108413119339437,
Adam Pulford,Adam,Pulford,GRN,Wills,False,,adampulford,adampulfordforwills,
Adam Veitch,Adam,Veitch,UAP,Bendigo,False,,,adamveitchuap,
Adam Watson,Adam,Watson,UAP,Kingsford Smith,False,,,kingsford-smith-uap-634344207003450,
Alan Quinn,Alan,Quinn,GRN,McPherson,False,https://greens.org.au/qld/person/alan-quinn,,alan-quinn-greens-candidate-for-mcpherson-339390456694649,
Alan Tudge,Alan,Tudge,LIB,Aston,True,http://www.alantudge.com.au/,alantudgemp,tudgemp,
Alex Hawke,Alex,Hawke,LIB,Mitchell,True,,alexhawkemp,alexhawkempmitchell,alexhawkemp
Ali France,Ali,France,ALP,Dickson,False,https://www.alp.org.au/our-people/our-people/ali-france/,alifrance5,alifrance4dickson,alifrance4dickson
Alice Thompson,Alice,Thompson,IND,Mackellar,False,https://alicethompson.com.au/,indy_ally,alice4mackellar,
Alicia Payne,Alicia,Payne,ALP,Canberra,False,,,aliciapayneforcanberra,aliciapayne_cbr
Alicia Walker,Alicia,Walker,AJP,Higgins,False,https://www.ajpvic.org.au/2019_federal_election_candidates,,,
Allan Green,Allan,Green,LIB,Greenway,False,https://nsw.liberal.org.au/AllanGreen,,allangreenforgreenway,
Allan Roark,Allan,Roark,UAP,Bass,False,,,,
Alyce Nelligan,Alyce,Nelligan,GRN,Groom,False,https://greens.org.au/qld/person/alyce-nelligan,,alycenelligan.greens,
Amanda Rishworth,Amanda,Rishworth,ALP,Kingston,True,,amandarishworth,amandarishworth,
Amanda Wilmot,Amanda,Wilmot,LIB,Kingsford Smith,False,https://nsw.liberal.org.au/AmandaWilmot,,amandawilmotforkingsfordsmith,
Amanda-Sue Markham,Amanda-Sue,Markham,LIB,Clark,False,https://www.liberal.org.au/member/amanda-sue-markham,,10157009666402464,
Amber Forbes,Amber,Forbes,GRN,Corio,False,https://greens.org.au/vic/person/amber-forbes,,,
Amy Gregorovich,Amy,Gregorovich,GRN,La Trobe,False,https://greens.org.au/vic/person/amy-gregorovich,,amy.gregorovich.greens,
Andrea Broadfoot,Andrea,Broadfoot,CA,Grey,False,https://centrealliance.org.au/candidates/grey/,,,
Andrew Bartlett,Andrew,Bartlett,GRN,Brisbane,False,,andrewbartlett,andrewbartlett.brisbane,andrew_bartlett
Andrew Bock,Andrew,Bock,IND,Nicholls,False,https://www.andrewbockindependent.com.au/,bock4nicholls,bock4nicholls,
Andrew Braddock,Andrew,Braddock,GRN,Fenner,False,https://greens.org.au/act/person/andrew-braddock,,braddockandrew,
Andrew Broad,Andrew,Broad,NAT,Mallee,True,,broad4mallee,broadformallee,
Andrew Gee,Andrew,Gee,NAT,Calare,True,http://nationals.org.au/candidates/,andrewgeemp,andrewgeecalare,
Andrew Giles,Andrew,Giles,ALP,Scullin,True,,andrewjgiles,andrewgilesmp,andrewgilesmp
Andrew Hastie,Andrew,Hastie,LIB,Canning,True,,,hastieandrew,
Andrew Laming,Andrew,Laming,LNP,Bowman,True,,andrewlamingmp,lammompp,andrewlamingmp
Andrew Leigh,Andrew,Leigh,ALP,Fenner,True,,aleighmp,andrewleighmp,
Andrew Marks,Andrew,Marks,UAP,Bennelong,False,,,bennelong-uap-1163196120521078,
Andrew Thaler,Andrew,Thaler,IND,Eden-Monaro,False,http://www.andrewthaler.com.au/,andrew_thaler,andrew.thaler,
Andrew Wallace,Andrew,Wallace,LNP,Fisher,True,http://www.andrewwallacemp.com.au/,andrewwallacemp,wallace4fisher,andrewwallacemp68
Andrew Wilkie,Andrew,Wilkie,IND,Clark,True,http://andrewwilkie.org/,wilkiemp,andrewwilkiemp,
Andrew Woodward,Andrew,Woodward,ALP,Cowper,False,https://www.alp.org.au/our-people/our-people/andrew-woodward/,cowperlabor,cowperlabor,cowperlabor
Angela Fulco,Angela,Fulco,PROG,Sturt,False,,,,
Angela Owen,Angela,Owen,LNP,Moreton,False,,,,
Angelo Cuda,Angelo,Cuda,UAP,Whitlam,False,,,whitlam-uap-726222754445260,
Angie Bell,Angie,Bell,LNP,Moncrieff,False,,,angie.bell.moncrieff,
Angus Taylor,Angus,Taylor,LIB,Hume,True,,angustaylormp,angustaylor4hume,
Anika Wells,Anika,Wells,ALP,Lilley,False,https://www.alp.org.au/our-people/our-people/anika-wells/,,wells4lilley,wells4lilley
Ann Sudmalis,Ann,Sudmalis,LIB,Gilmore,True,,ann_sudmalismp,annsudmalismp,
Anne Aly,Anne,Aly,ALP,Cowan,True,,,anneazzaaly,anne.aly
Anne Bourne,Anne,Bourne,GRN,Mayo,False,https://greens.org.au/sa/person/anne-bourne,,anne-bourne-greens-candidate-for-mayo-492118757858549,
Anne Charlton,Anne,Charlton,ALP,Robertson,False,,,annecharltonrobertson,anne.charlton
Anne Jackson,Anne,Jackson,GRN,Hinkler,False,https://greens.org.au/qld/person/anne-jackson,,annejacksongreens,
Anne Stanley,Anne,Stanley,ALP,Werriwa,True,https://www.alp.org.au/our-people/our-people/anne-stanley/,annewerriwa,,anne.stanley.werriwa
Anne Webster,Anne,Webster,NAT,Mallee,False,,,annewebster.nationals,
Anthony Albanese,Anthony,Albanese,ALP,Grayndler,True,https://anthonyalbanese.com.au/,albomp,albomp,albomp
Anthony Byrne,Anthony,Byrne,ALP,Holt,True,,anthonybyrne_mp,anthonybyrne,
Anthony Fels,Anthony,Fels,UAP,O'Connor,False,,,oconnor-uap-576161612901223,
Anthony Mitchell,Anthony,Mitchell,LIB,Gellibrand,False,https://vic.liberal.org.au/AnthonyMitchell,,anthonymitchellforgellibrand,
Anthony Seals,Anthony,Seals,UAP,Isaacs,False,,,isaacs-uap-360799891435612,
Anthony Wallis,Anthony,Wallis,KAP,Maranoa,False,https://www.kap.org.au/maranoa/,,,
Antoinette Holm,Antoinette,Holm,ALP,Gippsland,False,https://www.alp.org.au/our-people/our-people/antoinette-holm/,,labor4gippsland,
Antonio Rea,Antonio,Rea,UAP,Adelaide,False,,,adelaide-uap-1211211022394004,
Aoife Champion,Aoife,Champion,ALP,Hume,False,,,aoifechampion,aoifechampion
Asher Cookson,Asher,Cookson,GRN,Aston,False,https://greens.org.au/candidates/vic,,,
Astrid O'Neill,Astrid,O'Neill,GRN,McMahon,False,https://greens.org.au/nsw/person/astrid-oneill,,,
Bailey Maher,Bailey,Maher,UAP,Longman,False,,,baileymaheruap,
Barbara Bell,Barbara,Bell,GRN,Bonner,False,https://greens.org.au/qld/person/barbara-bell,,barbarabellthegreens,
Barbara Pocock,Barbara,Pocock,GRN,Adelaide,False,http://www.barbarapocock.com.au/,barbarapocock,barbarapocock4adelaide,barbarapocock
Barnaby Joyce,Barnaby,Joyce,NAT,New England,True,http://www.barnabyjoyce.com.au/,barnaby_joyce,barnabyjoycemp,barnaby.joyce
Belinda Hassan,Belinda,Hassan,ALP,Dawson,False,,belinda_alp,belindaalp,belindahassan4dawson
Ben Liu,Ben,Liu,UAP,Barton,False,,,barton-uap-2137366266331415,
Ben McGregor,Ben,McGregor,ALP,Clark,False,,,mcgregorforclark,
Ben Morton,Ben,Morton,LIB,Tangney,True,,,benmortonau,
Ben Rushton,Ben,Rushton,UAP,Bean,False,,,,
Benedict Coyne,Benedict,Coyne,GRN,Dickson,False,https://doitfordickson.com/,bennarama,benedictcoyne.greens,benedictcoyne.greens
Bernadette Thomas,Bernadette,Thomas,GRN,Gellibrand,False,https://greens.org.au/vic/person/bernadette-thomas,,bernadette-thomas-for-gellibrand-774007712977873,
Bert van Manen,Bert,van Manen,LNP,Forde,True,https://www.bertvanmanen.com.au/,bertvanmanen,bertvanmanen.page,bertvanmanen
Beverley Cameron,Beverley,Cameron,UAP,Calare,False,,,calare-uap-1139073959593025,
Bill Brindle,Bill,Brindle,ALP,Casey,False,,,brindle4casey,
Bill Lodwick,Bill,Lodwick,ALP,Nicholls,False,https://www.alp.org.au/our-people/our-people/bill-lodwick/,,billlodwick4mp,billlodwick4mp
Bill Shorten,Bill,Shorten,ALP,Maribyrnong,True,,billshortenmp,billshorten,billshortenmp
Bob Katter,Bob,Katter,KAP,Kennedy,True,https://www.ausparty.org.au/who-we-are/our-people,,,
Brad Carswell,Brad,Carswell,LNP,Lilley,False,,,brad4lilley,
Brady Williams,Brady,Williams,AUC,Hasluck,False,,,,
Brendan Bunyan,Brendan,Bunyan,KAP,Dawson,False,https://www.kap.org.au/dawson/,,,
Brendan Clarke,Brendan,Clarke,SCP,Berowra,False,,,,
Brendan O'Connor,Brendan,O'Connor,ALP,Gorton,True,,boconnormp,brendanoconnormp,
Brenden Hatton,Brenden,Hatton,UAP,Durack,False,,,,
Brett Fuller,Brett,Fuller,UAP,Menzies,False,,,brettfulleruap,
Brett McGuire,Brett,McGuire,ALP,Kennedy,False,https://www.alp.org.au/our-people/our-people/brett-mcguire/,,brettmcguirealp,
Brett Nangle,Brett,Nangle,UAP,Cooper,False,,,brettnangleuap,
Brett Stone,Brett,Stone,ALP,North Sydney,False,https://www.alp.org.au/our-people/our-people/brett-stone/,,brettfornorthsydney,
Brian Mitchell,Brian,Mitchell,ALP,Lyons,True,,brianmitchellmp,brianmitchellforlyons2016,
Brian Owler,Brian,Owler,ALP,Bennelong,False,https://www.alp.org.au/our-people/our-people/brian-owler/,brianowler,laborforbennelong,
Bridget Archer,Bridget,Archer,LIB,Bass,False,,bridgetarcher,bridgetarcherforbass,
Bronwyn Currie,Bronwyn,Currie,AJP,Isaacs,False,https://www.ajpvic.org.au/2019_federal_election_candidates,,,
Bryn Hills,Bryn,Hills,AJP,Ballarat,False,https://www.ajpvic.org.au/2019_federal_election_candidates,,,
Cameron Pidgeon,Cameron,Pidgeon,GRN,Curtin,False,https://greens.org.au/wa/person/cameron-pidgeon,,camforcurtin,
Candace Champion,Candace,Champion,GRN,Grey,False,https://greens.org.au/sa/person/candace-champion,,,
Carl Cooper,Carl,Cooper,NAT,Bass,False,,,carlcooper.bass,
Carmel McCallum,Carmel,McCallum,GRN,Gilmore,False,https://greens.org.au/nsw/person/carmel-mccallum,,carmelforgilmore,
Caroline Perks,Caroline,Perks,GRN,Perth,False,https://greens.org.au/wa/person/caroline-perks,,carolineforperth,carolineforperth
Cath Connor,Cath,Connor,GRN,Robertson,False,https://greens.org.au/nsw/person/cath-connor,,,
Catherine King,Catherine,King,ALP,Ballarat,True,,catherinekingmp,catherinekingmp,
Cathy McGowan,Cathy,McGowan,IND,Indi,True,,,,
Cathy O'Toole,Cathy,O'Toole,ALP,Herbert,True,,c_otoole,cathyotoolemp,
Cecilia Moar,Cecilia,Moar,IND,Mallee,False,https://www.moarformallee.com/,,moarformallee,moarformallee
Celia Hammond,Celia,Hammond,LIB,Curtin,False,,,celia4curtin,celiahammond4curtin
Chad Anderson,Chad,Anderson,IND,Leichhardt,False,,,,
Chandra Singh,Chandra,Singh,UAP,Eden-Monaro,False,,,eden-monaro-uap-635848103525106,
Charles Camenzuli,Charles,Camenzuli,LIB,Parramatta,False,https://nsw.liberal.org.au/CharlesCamenzuli,,charles4parramatta,
Charles Hopkins,Charles,Hopkins,UAP,Perth,False,,,perth-uap-398148410975175,
Charles Jago,Charles,Jago,GRN,Reid,False,https://greens.org.au/nsw/person/charles-jago,,cbaygreens,
Chris Bowen,Chris,Bowen,ALP,McMahon,True,,bowenchris,chrisbowenmp,
Chris Crewther,Chris,Crewther,LIB,Dunkley (*),True,,chriscrewthermp,crewtherchrismp,chriscrewthermp
Chris Gambian,Chris,Gambian,ALP,Banks,False,http://chrisgambian.com.au/,chrisgambian,chrisgambian,chrisgambian
Chris Haviland,Chris,Haviland,ALP,Bradfield,False,,,,
Chris Hayes,Chris,Hayes,ALP,Fowler,True,,,chrishayesmp,chrishayesmp
Chris Hayman,Chris,Hayman,UAP,McEwen,False,,,chrishaymanuap,
Chris Lahy,Chris,Lahy,CEC,Mallee,False,,,,
Chris Miles,Chris,Miles,AJP,Wills,False,https://www.ajpvic.org.au/2019_federal_election_candidates,,,
Chris Paterson,Chris,Paterson,ONP,Fisher,False,https://www.onenation.org.au/our-team/chris-paterson/,,patersonforfisher,
Christian Julius,Christian,Julius,UAP,Griffith,False,,,christianjuliusuap,
Christian Porter,Christian,Porter,LIB,Pearce,True,,cporterwa,christianportermp,christianportermp
Christine McShane,Christine,McShane,UAP,Flinders,False,,,flinders-uap-408040429965822,
Christine Stow,Christine,Stow,LIB,Maribyrnong,False,,,,
Christopher Buttel,Christopher,Buttel,UAP,Lindsay,False,,,lindsay-uap-2247701862178684,
Christopher Pyne,Christopher,Pyne,LIB,Sturt,True,,cpyne,christopher.pyne,pynechristopher
Cindy Duncan,Cindy,Duncan,UAP,New England,False,,,new-england-uap-153366688916977,
Clare O'Neil,Clare,O'Neil,ALP,Hotham,True,,clareoneilmp,clareforhotham,clareoneilmp
Clinton Pattison,Clinton,Pattison,LNP,Rankin,False,,,,
Colin Thompson,Colin,Thompson,UAP,Dawson,False,,,settings,
Connor Parissis,Connor,Parissis,GRN,Barton,False,,,parissisbarton,
Corinne Mulholland,Corinne,Mulholland,ALP,Petrie,False,https://www.alp.org.au/our-people/our-people/corinne-mulholland/,,corinnemulholland,corinneforpetrie
Courtney Nguyen,Courtney,Nguyen,LIB,Fowler,False,https://nsw.liberal.org.au/CourtneyNguyen,,,
Craig Kelly,Craig,Kelly,LIB,Hughes,True,,craigkellymp,craigkellymp,
Craig Laundy,Craig,Laundy,LIB,Reid,True,,laundycraigmp,craiglaundyofficial,craiglaundy
Craig McLachlan,Craig,McLachlan,UAP,Berowra,False,,,berowra-uap-744797192587020,
Craig McPherson,Craig,McPherson,AJP,Macnamara,False,,,,
Cressida O'Hanlon,Cressida,O'Hanlon,ALP,Sturt,False,https://www.alp.org.au/our-people/our-people/cressida-ohanlon/,,cressidaohanlon,
Csongor (Shaun) Sopronyi,Csongor (Shaun),Sopronyi,UAP,Oxley,False,,,,
Cynthia Smith,Cynthia,Smith,GRN,Scullin,False,https://greens.org.au/vic/person/cynthia-smith,,,
Dale Bromley,Dale,Bromley,UAP,Forrest,False,,,forrest-uap-172608776955929,
Damian Commane,Damian,Commane,ONP,McMahon,False,https://www.onenation.org.au/our-team/damian-commane/,,commaneformcmahon,
Damian Drum,Damian,Drum,NAT,Nicholls,True,http://nationals.org.au/candidates/,damiandrumnat,damiandrumnats,
Damian Huxham,Damian,Huxham,ONP,Hinkler,False,https://www.onenation.org.au/our-team/damian-huxham-hinkler/,,damianhuxham,
Damien Atkins,Damien,Atkins,GRN,Greenway,False,https://greens.org.au/nsw/person/damien-atkins,,greens7hills2019,
Dan Tehan,Dan,Tehan,LIB,Wannon,True,,dantehanwannon,dantehanwannon,dantehan
Dani Rifai,Dani,Rifai,UAP,Shortland,False,,,shortland-uap-415388335946752,
Daniel Bryar,Daniel,Bryar,GRN,Wide Bay,False,https://greens.org.au/qld/person/daniel-bryar,bryardaniel,dbryar.greens,
Daniel Jury,Daniel,Jury,GRN,Spence,False,https://greens.org.au/sa/person/daniel-jury,,,
Daniel Keogh,Daniel,Keogh,GRN,North Sydney,False,https://greens.org.au/nsw/person/daniel-keogh,,dkgreens,
Daniel McCarthy,Daniel,McCarthy,KAP,Leichhardt,False,http://www.danielmccarthy.com.au/,,daniel-mccarthy-kap-for-leichhardt-1075941069110810,
Daniel Mulino,Daniel,Mulino,ALP,Fraser,False,https://www.alp.org.au/our-people/our-people/daniel-mulino/,,daniel.mulino.1,danielmulino4fraser
Daniel Parsell,Daniel,Parsell,ALP,Fisher,False,https://www.alp.org.au/our-people/our-people/daniel-parsell/,,laborforfisher,
Daniel Pollock,Daniel,Pollock,ALP,Goldstein,False,https://www.alp.org.au/our-people/our-people/daniel-pollock/,,pollockforgoldstein,
Daniel Reid,Daniel,Reid,GRN,Page,False,https://greens.org.au/nsw/person/daniel-reid,,dareid001,
Daniel Vujcich,Daniel,Vujcich,GRN,Moore,False,https://greens.org.au/wa/person/daniel-vujcich,,danielformoore,
Darren Chester,Darren,Chester,NAT,Gippsland,True,http://nationals.org.au/candidates/,darrenchestermp,darrenchestermp,
Darren Winter,Darren,Winter,UAP,Franklin,False,,,,
Dave Sharma,Dave,Sharma,LIB,Wentworth (*),False,,davesharma,davesharmaforwentworth,davesharmaforwentworth
David Coleman,David,Coleman,LIB,Banks,True,,davidcolemanmp,davidcoleman4banks,
David Gillespie,David,Gillespie,NAT,Lyne,True,http://nationals.org.au/candidates/,,patrick-conaghan-candidate-for-cowper-1159459864219222,
David Goode,David,Goode,LIB,Burt,False,,,david4burt,
