,name,state,url,party,margin
Adelaide,Adelaide,SA,https://www.abc.net.au/news/elections/federal/2019/guide/adel/,ALP,8.3
Aston,Aston,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/asto/,LIB,7.4
Ballarat,Ballarat,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/ball/,ALP,7.4
Banks,Banks,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bank/,LIB,1.4
Barker,Barker,SA,https://www.abc.net.au/news/elections/federal/2019/guide/bark/,LIB,13.9
Barton,Barton,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bart/,ALP,8.3
Bass,Bass,TA,https://www.abc.net.au/news/elections/federal/2019/guide/bass/,ALP,5.4
Bean,Bean,ACT,https://www.abc.net.au/news/elections/federal/2019/guide/bean/,ALP,8.9
Bendigo,Bendigo,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/bend/,ALP,3.9
Bennelong,Bennelong,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/benn/,LIB,9.7
Berowra,Berowra,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/bero/,LIB,16.4
Blair,Blair,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/blai/,ALP,8.1
Blaxland,Blaxland,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/blax/,ALP,19.5
Bonner,Bonner,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/bonn/,LNP,3.4
Boothby,Boothby,SA,https://www.abc.net.au/news/elections/federal/2019/guide/boot/,LIB,2.7
Bowman,Bowman,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/bowm/,LNP,7.1
Braddon,Braddon,TA,https://www.abc.net.au/news/elections/federal/2019/guide/brad/,ALP,1.7
Bradfield,Bradfield,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/brfd/,LIB,21.0
Brand,Brand,WA,https://www.abc.net.au/news/elections/federal/2019/guide/bran/,ALP,11.4
Brisbane,Brisbane,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/bris/,LNP,6.0
Bruce,Bruce,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/bruc/,ALP,14.0
Burt,Burt,WA,https://www.abc.net.au/news/elections/federal/2019/guide/burt/,ALP,7.1
Calare,Calare,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/cala/,NAT,11.8
Calwell,Calwell,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/calw/,ALP,19.7
Canberra,Canberra,ACT,https://www.abc.net.au/news/elections/federal/2019/guide/canb/,ALP,12.9
Canning,Canning,WA,https://www.abc.net.au/news/elections/federal/2019/guide/cann/,LIB,6.8
Capricornia,Capricornia,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/capr/,LNP,0.6
Casey,Casey,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/case/,LIB,4.5
Chifley,Chifley,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/chif/,ALP,19.2
Chisholm,Chisholm,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/chis/,LIB,2.9
Clark,Clark,TA,https://www.abc.net.au/news/elections/federal/2019/guide/clar/,IND,17.8
Cook,Cook,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/cook/,LIB,15.4
Cooper,Cooper,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/coop/,ALP,1.3
Corangamite (*),Corangamite (*),VIC,https://www.abc.net.au/news/elections/federal/2019/guide/cora/,ALP,0.03
Corio,Corio,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/cori/,ALP,8.2
Cowan,Cowan,WA,https://www.abc.net.au/news/elections/federal/2019/guide/cowa/,ALP,0.7
Cowper,Cowper,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/cowp/,NAT,4.6
Cunningham,Cunningham,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/cunn/,ALP,13.3
Curtin,Curtin,WA,https://www.abc.net.au/news/elections/federal/2019/guide/curt/,LIB,20.7
Dawson,Dawson,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/daws/,LNP,3.4
Deakin,Deakin,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/deak/,LIB,6.4
Dickson,Dickson,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/dick/,LNP,1.7
Dobell,Dobell,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/dobe/,ALP,4.8
Dunkley (*),Dunkley (*),VIC,https://www.abc.net.au/news/elections/federal/2019/guide/dunk/,ALP,1.0
Durack,Durack,WA,https://www.abc.net.au/news/elections/federal/2019/guide/dura/,LIB,11.1
Eden-Monaro,Eden-Monaro,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/emon/,ALP,2.9
Fadden,Fadden,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/fadd/,LNP,11.2
Fairfax,Fairfax,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/fair/,LNP,10.9
Farrer,Farrer,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/farr/,LIB,20.5
Fenner,Fenner,ACT,https://www.abc.net.au/news/elections/federal/2019/guide/fenn/,ALP,11.8
Fisher,Fisher,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/fish/,LNP,9.2
Flinders,Flinders,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/flin/,LIB,7.0
Flynn,Flynn,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/flyn/,LNP,1.0
Forde,Forde,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/ford/,LNP,0.6
Forrest,Forrest,WA,https://www.abc.net.au/news/elections/federal/2019/guide/forr/,LIB,12.6
Fowler,Fowler,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/fowl/,ALP,17.5
Franklin,Franklin,TA,https://www.abc.net.au/news/elections/federal/2019/guide/fran/,ALP,10.7
Fraser,Fraser,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/fras/,ALP,19.8
Fremantle,Fremantle,WA,https://www.abc.net.au/news/elections/federal/2019/guide/frem/,ALP,7.5
Gellibrand,Gellibrand,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/gell/,ALP,15.1
Gilmore,Gilmore,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/gilm/,LIB,0.7
Gippsland,Gippsland,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/gipp/,NAT,18.2
Goldstein,Goldstein,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/gold/,LIB,12.7
Gorton,Gorton,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/gort/,ALP,18.5
Grayndler,Grayndler,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/gray/,ALP,15.8
Greenway,Greenway,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/gree/,ALP,6.3
Grey,Grey,SA,https://www.abc.net.au/news/elections/federal/2019/guide/grey/,LIB,7.8
Griffith,Griffith,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/grif/,ALP,1.4
Groom,Groom,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/groo/,LNP,15.3
Hasluck,Hasluck,WA,https://www.abc.net.au/news/elections/federal/2019/guide/hasl/,LIB,2.1
Herbert,Herbert,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/herb/,ALP,0.02
Higgins,Higgins,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/higg/,LIB,7.4
Hindmarsh,Hindmarsh,SA,https://www.abc.net.au/news/elections/federal/2019/guide/hind/,ALP,8.4
Hinkler,Hinkler,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/hink/,LNP,8.4
Holt,Holt,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/holt/,ALP,9.9
Hotham,Hotham,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/hoth/,ALP,4.2
Hughes,Hughes,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/hugh/,LIB,9.3
Hume,Hume,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/hume/,LIB,10.2
Hunter,Hunter,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/hunt/,ALP,12.5
Indi,Indi,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/indi/,IND,5.5
Isaacs,Isaacs,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/isaa/,ALP,3.0
Jagajaga,Jagajaga,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/jaga/,ALP,5.6
Kennedy,Kennedy,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/kenn/,KAP,11.0
Kingsford Smith,Kingsford Smith,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/ksmi/,ALP,8.6
Kingston,Kingston,SA,https://www.abc.net.au/news/elections/federal/2019/guide/king/,ALP,13.5
Kooyong,Kooyong,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/kooy/,LIB,12.8
La Trobe,La Trobe,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/ltro/,LIB,3.2
Lalor,Lalor,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/lalo/,ALP,14.2
Leichhardt,Leichhardt,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/leic/,LNP,3.9
Lilley,Lilley,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/lill/,ALP,5.7
Lindsay,Lindsay,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/lind/,ALP,1.1
